hash,from,to,value,blockNumber,timeStamp,nonce,gas,gasPrice,gasUsed,isError,txreceipt_status,input,blockHash,contractAddress,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,cumulativeGasUsed,methodId,functionName,confirmations,tx_type,L1Gas,L1GasPrice,L1FeesPaid,L1FeeScalar
0x8abf977e0cd7e2e4a16e92b38aabcf3537b2fc8c4b7771c847e3bd437f6f9fa5,0x20fe51a9229eef2cf8ad9e89d91cab9312cf3b7a,0x67d6f959519731ea3402f23767585991f04cdb67,7620280000000000,21161295,1729111937,396351,21000,5793196,21000,0,1,0x,0x9e8abac63f22dd240a4fa839fcbe5fe1874d89339c309ce16898d4556f32a22e,,,,,,229,38259964,0x,,19349655,native,1600,15151867677,55007340520,0.000000000000
0x7fd284775d14b9d907782ce66c4adc62f66a84e51c09c1601a63b8c604a5351d,0x1985ea6e9c68e1c272d8209f3b478ac2fdb25c87,0x67d6f959519731ea3402f23767585991f04cdb67,6097154340000000000,21161387,1729112121,1071324,21000,6083992,21000,0,1,0x,0x639a3107d501a2a99379407c8dfde3e720c2d7255e96820ddcaa1a67179a530d,,,,,,222,37736860,0x,,19349563,native,1600,15970618792,57979734568,0.000000000000
0x15660d60d7493ad78f1bec695dce9232e970bfd7a45f856649c8ffc1b3a49c09,0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d,0x67d6f959519731ea3402f23767585991f04cdb67,484901580180632604566,21171981,1729133309,1,676673,5686822,507097,,,deprecated,0xf366a9541ffa09fe5348f60f6ed030a3bdf82334677960d52e9032e31a36cda6,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,60,12430095,0x24856bc3,"execute(bytes commands,bytes[] inputs)",19338981,token,,,,
0xb10f2ebdb658f8cdd278163c4cd6adf382cee0a7cdd98807e596256588c786ad,0x67d6f959519731ea3402f23767585991f04cdb67,0x940181a94a35a4569e4529a3cdfb74e38fd98631,0,21172020,1729133387,2,58405,5698748,46341,0,1,0x095ea7b3000000000000000000000000827922686190790b37229fd06084350e74485b72000000000000000000000000000000000000000000000018fc7a657ee6f4dabd,0xffd775f0998875e34f99c4f32c21730db4932b67f3842ad913d1ff63e8765b74,,,,,,100,18658065,0x095ea7b3,"approve(address spender,uint256 amount)",19338930,native,1600,8162356151,29632618615,0.000000000000
0xbc0790d7e0a9240a003b070c4fe300d82623c65961baf8f750885b57ab568b78,0x67d6f959519731ea3402f23767585991f04cdb67,0x82321f3beb69f503380d6b233857d5c43562e2d0,460914823009460869821,21172030,1729133407,3,558372,5703088,419006,,,deprecated,0x0021157833f8063f2bfb2b4703e5271b0d71efa41e1c0293cc6fa1b01a1bd879,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,41,8308571,0xb5007d1f,mint(tuple params),19338932,token,,,,
0x2b231821a1d7be312413262c56253d26381e8953534d19174e73a8d5ffe40ece,0x82321f3beb69f503380d6b233857d5c43562e2d0,0x67d6f959519731ea3402f23767585991f04cdb67,18565974146129534,21172096,1729133539,5,591107,5650893,408098,,,deprecated,0xe8f7069e725bbd65d15d84d13f0b108b2bbb38454afc98a11b6e5c999cc67635,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,97,19138752,0xb6b55f25,deposit(uint256 amount),19338866,token,,,,
0xa432a25f9cfe125bcac3414baedc32fa7c4269e577799cfc6d4a1361b39e9dc8,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0x67d6f959519731ea3402f23767585991f04cdb67,1089257,21172662,1729134671,11,275382,4744578,190184,,,deprecated,0x3230dde7d3edb39e7f413b51ec941668e9fcb48d32d246be547ecc16f72449cb,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,Coinbase Wrapped BTC,cbBTC,8,87,11346284,0x24856bc3,"execute(bytes commands,bytes[] inputs)",19338300,token,,,,
0x0de6dae4fad8a17e895dba44c7d56d4c03f0f146db3f1632fcbf30d28c974c58,0x67d6f959519731ea3402f23767585991f04cdb67,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0,21172700,1729134747,12,75966,4689615,59952,0,1,0x095ea7b3000000000000000000000000827922686190790b37229fd06084350e74485b7200000000000000000000000000000000000000000000000000000000000fbbc3,0xe99fe9eb1c82ed2fbb78340ae37e4e9c3106dcc0010b29a645d3a5726b234c98,,,,,,132,24045881,0x095ea7b3,"approve(address spender,uint256 amount)",19338250,native,1600,8002735185,29053130237,0.000000000000
0x186ed685d5f5b9f5bf8a7441dc3a99503e1ff32fdd65e86012574322b91cd56a,0x67d6f959519731ea3402f23767585991f04cdb67,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0,21172837,1729135021,14,54035,4730553,42852,0,1,0x095ea7b3000000000000000000000000827922686190790b37229fd06084350e74485b720000000000000000000000000000000000000000000000000000000000107f71,0xf2e8cdf5ded68625aa25e2ab5d7768c6d0de2d0ff03f6e6bc03de541e2f25eff,,,,,,123,22199988,0x095ea7b3,"approve(address spender,uint256 amount)",19338113,native,1600,7545863633,27394503649,0.000000000000
0x933d7f319023f03aa98519dcdb740a76d3253cc8a9610476d68085790b68d070,0x67d6f959519731ea3402f23767585991f04cdb67,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1069103,21172881,1729135109,15,571825,4672809,433256,,,deprecated,0x8c1fd130bb734e98091f14c128caa21700d48cdb3dd18c07ad3b687eb02bc209,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,Coinbase Wrapped BTC,cbBTC,8,138,9719688,0xb5007d1f,mint(tuple params),19338081,token,,,,
0x37b712b28848a0e2f2c8120e40031602a919cbc4b27c64323a80d6b72ce15dba,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0x67d6f959519731ea3402f23767585991f04cdb67,18,21172954,1729135255,17,587486,4592313,427146,,,deprecated,0x2b0cbe79f19b94f9b8c45515bacb289fb23550dd8130304edb31b51d2ba00cae,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,Coinbase Wrapped BTC,cbBTC,8,108,19802674,0xb6b55f25,deposit(uint256 amount),19338008,token,,,,
0xcf9dcc686022769d86eb6eb29e63c90b0b515f2e369425ad86a6686cfa781b45,0x0225ba893d5f8ecd6d2022f9dec59b34f61098a1,0x67d6f959519731ea3402f23767585991f04cdb67,21892755197311066780,21173201,1729135749,18,283631,4270495,196630,,,deprecated,0xfbaf4a7a21fd3046299c99c0bd70a492967b2e986541a3465ad7a116b91441c0,0x9b8df6e244526ab5f6e6400d331db28c8fdddb55,,Solana (Universal),uSOL,18,135,18661480,0x24856bc3,"execute(bytes commands,bytes[] inputs)",19337761,token,,,,
0xa93e613640fc38d79b7e5835c573478abd410098fffd53c9a43893b8ac90fafd,0x67d6f959519731ea3402f23767585991f04cdb67,0x9b8df6e244526ab5f6e6400d331db28c8fdddb55,0,21173210,1729135767,19,69085,4253358,54469,0,1,0x095ea7b3000000000000000000000000827922686190790b37229fd06084350e74485b7200000000000000000000000000000000000000000000000124018ed0899ae5d3,0xfe34b65cc39322024edaecaf4c1706fb7412a4b746a9dac43b5db1012eed6a1c,,,,,,97,9840513,0x095ea7b3,"approve(address spender,uint256 amount)",19337740,native,1600,9346385545,33931118399,0.000000000000
0xbbe69480b93efd981b06446faa0b1dac421cf89aff3b5eb9fdf9fa326d3934ed,0x67d6f959519731ea3402f23767585991f04cdb67,0x0225ba893d5f8ecd6d2022f9dec59b34f61098a1,20858906049311848119,21173215,1729135777,20,575726,4248324,434232,,,deprecated,0x2f59f2e3cbcc1dc0dd7052b62867b8e66cb08ee80f851374207e182e287d065b,0x9b8df6e244526ab5f6e6400d331db28c8fdddb55,,Solana (Universal),uSOL,18,89,12852268,0xb5007d1f,mint(tuple params),19337747,token,,,,
0xe54e6a16af52a5f89e5c3f229c82f8a25c107f14ac1407609efc1bff7122bea1,0x0225ba893d5f8ecd6d2022f9dec59b34f61098a1,0x67d6f959519731ea3402f23767585991f04cdb67,97460281488789,21173288,1729135923,22,607502,4151225,421009,,,deprecated,0xcbe008f946c35b96a527f2f3af707d44aea669f9a1f1bf405ef2f392d5f54ae9,0x9b8df6e244526ab5f6e6400d331db28c8fdddb55,,Solana (Universal),uSOL,18,67,15625498,0xb6b55f25,deposit(uint256 amount),19337674,token,,,,
0xf0ab71b5f2a861989318da9aae108add5df1a07995770a4f14d60eff59dd686a,0xde8ff0d3e8ab225110b088a250b546015c567e27,0x67d6f959519731ea3402f23767585991f04cdb67,359672807040500293,21191123,1729171593,23,535410,8255773,361436,,,deprecated,0xc2d97a5763b8b0c60e7fb3a924c0d01fbd42edf895b13639832d19f12aa235a1,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,77,14665934,0x2e1a7d4d,withdraw(uint256 _amount),19319839,token,,,,
